,0,Target
1210,Trade School Education,Dropout
1212,Trade School Education,Graduate
1213,Trade School Education,Graduate
1215,Secondary Education,Graduate
1216,Primary Education,Graduate
1217,Primary Education,Graduate
1218,Secondary Education,Graduate
1219,Primary Education,Graduate
1220,Trade School Education,Dropout
1221,Primary Education,Graduate
1222,Primary Education,Dropout
1223,Secondary Education,Graduate
1224,Primary Education,Graduate
1225,Trade School Education,Graduate
1226,Primary Education,Graduate
1227,Trade School Education,Graduate
1228,Trade School Education,Graduate
1230,Primary Education,Graduate
1231,Secondary Education,Graduate
1232,Primary Education,Graduate
1233,Secondary Education,Graduate
1234,Secondary Education,Graduate
1235,Primary Education,Dropout
1236,Secondary Education,Graduate
1237,Secondary Education,Dropout
1238,Trade School Education,Graduate
1239,Secondary Education,Dropout
1240,Trade School Education,Dropout
1241,Primary Education,Dropout
1243,Primary Education,Graduate
1244,Trade School Education,Dropout
1245,Trade School Education,Dropout
1246,Primary Education,Graduate
1247,Primary Education,Dropout
1249,Trade School Education,Dropout
1250,Primary Education,Graduate
1251,Trade School Education,Graduate
1252,Trade School Education,Graduate
1253,Trade School Education,Graduate
1255,Secondary Education,Dropout
1256,Primary Education,Graduate
1257,Trade School Education,Graduate
1258,Secondary Education,Graduate
1259,Primary Education,Graduate
1260,Secondary Education,Graduate
1261,Primary Education,Dropout
1262,Primary Education,Dropout
1263,Trade School Education,Graduate
1264,Trade School Education,Graduate
1265,Secondary Education,Graduate
1266,Trade School Education,Graduate
1267,Primary Education,Graduate
1269,Trade School Education,Dropout
1271,Primary Education,Graduate
1272,Trade School Education,Dropout
1273,Trade School Education,Dropout
1274,Trade School Education,Graduate
1275,Primary Education,Graduate
1276,Secondary Education,Graduate
1277,Trade School Education,Dropout
1279,Primary Education,Graduate
1280,Primary Education,Graduate
1281,Trade School Education,Graduate
1282,Secondary Education,Dropout
1283,Primary Education,Graduate
1284,Primary Education,Graduate
1285,Primary Education,Dropout
1287,Primary Education,Graduate
1288,Trade School Education,Graduate
1289,Primary Education,Graduate
1291,Trade School Education,Graduate
1292,Secondary Education,Dropout
1293,Secondary Education,Graduate
1294,Secondary Education,Dropout
1295,Secondary Education,Dropout
1296,Primary Education,Dropout
1297,Trade School Education,Dropout
1298,Secondary Education,Graduate
1300,Secondary Education,Dropout
1301,Secondary Education,Dropout
1302,Secondary Education,Graduate
1303,Secondary Education,Graduate
1304,Secondary Education,Graduate
1305,Primary Education,Graduate
1306,Secondary Education,Graduate
1307,Primary Education,Graduate
1308,Trade School Education,Graduate
1309,Trade School Education,Graduate
1310,Secondary Education,Graduate
1311,Trade School Education,Graduate
1312,Trade School Education,Graduate
1313,Secondary Education,Dropout
1315,Primary Education,Graduate
1317,Primary Education,Dropout
1318,Secondary Education,Dropout
1319,Secondary Education,Graduate
1320,Secondary Education,Graduate
1322,Trade School Education,Graduate
1323,Trade School Education,Graduate
1325,Trade School Education,Graduate
1327,Primary Education,Dropout
1328,Secondary Education,Graduate
1330,Primary Education,Graduate
1331,Secondary Education,Graduate
1332,Secondary Education,Dropout
1334,Trade School Education,Graduate
1338,Secondary Education,Dropout
1339,Trade School Education,Graduate
1340,Trade School Education,Graduate
1341,Primary Education,Graduate
1342,Primary Education,Graduate
1343,Trade School Education,Graduate
1344,Secondary Education,Dropout
1345,Secondary Education,Graduate
1346,Secondary Education,Graduate
1349,Primary Education,Graduate
1350,Secondary Education,Graduate
1351,Primary Education,Graduate
1352,Secondary Education,Graduate
1353,Trade School Education,Dropout
1356,Primary Education,Dropout
1357,Primary Education,Dropout
1358,Secondary Education,Dropout
1359,Primary Education,Dropout
1360,Secondary Education,Dropout
1361,Trade School Education,Graduate
1362,Trade School Education,Dropout
1363,Primary Education,Graduate
1364,Primary Education,Graduate
1365,Primary Education,Dropout
1366,Secondary Education,Dropout
1367,Trade School Education,Graduate
1368,Primary Education,Dropout
1369,Secondary Education,Graduate
1370,Trade School Education,Graduate
1371,Secondary Education,Graduate
1372,Secondary Education,Graduate
1373,Secondary Education,Graduate
1374,Secondary Education,Dropout
1375,Trade School Education,Dropout
1377,Trade School Education,Graduate
1378,Primary Education,Dropout
1379,Secondary Education,Dropout
1380,Secondary Education,Graduate
1381,Trade School Education,Dropout
1382,Secondary Education,Graduate
1383,Primary Education,Graduate
1384,Secondary Education,Graduate
1385,Primary Education,Dropout
1386,Secondary Education,Dropout
1387,Trade School Education,Graduate
1388,Trade School Education,Dropout
1390,Secondary Education,Graduate
1391,Secondary Education,Graduate
1392,Primary Education,Dropout
1393,Secondary Education,Graduate
1394,Trade School Education,Graduate
1395,Primary Education,Graduate
1397,Primary Education,Graduate
1398,Trade School Education,Graduate
1399,Primary Education,Graduate
1401,Trade School Education,Graduate
1402,Primary Education,Graduate
1403,Trade School Education,Graduate
1404,Secondary Education,Dropout
1405,Secondary Education,Dropout
1406,Trade School Education,Graduate
1408,Primary Education,Dropout
1409,Trade School Education,Graduate
1410,Trade School Education,Dropout
1411,Primary Education,Graduate
1412,Trade School Education,Graduate
1414,Primary Education,Graduate
1415,Primary Education,Graduate
1416,Primary Education,Dropout
1417,Secondary Education,Graduate
1418,Primary Education,Graduate
1419,Trade School Education,Dropout
1420,Trade School Education,Dropout
1422,Primary Education,Graduate
1423,Trade School Education,Graduate
1425,Primary Education,Graduate
1426,Secondary Education,Graduate
1429,Primary Education,Graduate
1430,Trade School Education,Graduate
1431,Secondary Education,Dropout
1433,Secondary Education,Graduate
1435,Trade School Education,Dropout
1437,Trade School Education,Graduate
1438,Secondary Education,Graduate
1439,Trade School Education,Graduate
1440,Primary Education,Graduate
1441,Secondary Education,Graduate
1442,Secondary Education,Graduate
1443,Secondary Education,Dropout
1444,Secondary Education,Graduate
1445,Secondary Education,Dropout
1446,Secondary Education,Dropout
1447,Secondary Education,Dropout
1448,Trade School Education,Dropout
1449,Secondary Education,Graduate
1450,Secondary Education,Dropout
1451,Primary Education,Graduate
1452,Secondary Education,Dropout
1453,Primary Education,Graduate
1455,Secondary Education,Dropout
1459,Trade School Education,Dropout
1460,Trade School Education,Dropout
1461,Trade School Education,Graduate
1463,Secondary Education,Dropout
1465,Primary Education,Graduate
1466,Primary Education,Dropout
1468,Secondary Education,Graduate
1469,Secondary Education,Graduate
1472,Primary Education,Graduate
1473,Trade School Education,Dropout
1475,Primary Education,Graduate
1476,Trade School Education,Dropout
1477,Secondary Education,Graduate
1478,Secondary Education,Dropout
1479,Secondary Education,Dropout
1480,Secondary Education,Dropout
1481,Trade School Education,Graduate
1482,Secondary Education,Graduate
1483,Secondary Education,Graduate
1484,Trade School Education,Graduate
1485,Primary Education,Graduate
1486,Secondary Education,Graduate
1488,Primary Education,Dropout
1489,Primary Education,Graduate
1490,Trade School Education,Graduate
1491,Secondary Education,Graduate
1492,Secondary Education,Dropout
1493,Primary Education,Graduate
1494,Secondary Education,Dropout
1495,Secondary Education,Graduate
1496,Secondary Education,Graduate
1497,Secondary Education,Graduate
1499,Secondary Education,Graduate
1500,Trade School Education,Graduate
1501,Secondary Education,Dropout
1502,Trade School Education,Graduate
1505,Trade School Education,Dropout
1507,Primary Education,Graduate
1508,Primary Education,Graduate
1509,Secondary Education,Dropout
1510,Secondary Education,Dropout
1512,Primary Education,Graduate
1513,Secondary Education,Graduate
1514,Primary Education,Dropout
1515,Primary Education,Graduate
1516,Primary Education,Dropout
1517,Primary Education,Graduate
1519,Secondary Education,Dropout
1520,Primary Education,Dropout
1521,Trade School Education,Graduate
1522,Primary Education,Dropout
1523,Primary Education,Dropout
1525,Secondary Education,Graduate
1526,Secondary Education,Dropout
1527,Trade School Education,Graduate
1528,Primary Education,Graduate
1529,Secondary Education,Dropout
1531,Trade School Education,Graduate
1532,Trade School Education,Graduate
1534,Secondary Education,Graduate
1536,Trade School Education,Dropout
1537,Trade School Education,Graduate
1538,Trade School Education,Dropout
1539,Trade School Education,Dropout
1540,Trade School Education,Dropout
1541,Trade School Education,Dropout
1542,Primary Education,Dropout
1543,Trade School Education,Dropout
1544,Primary Education,Dropout
1545,Secondary Education,Graduate
1547,Primary Education,Dropout
1548,Trade School Education,Dropout
1549,Trade School Education,Dropout
1550,Primary Education,Graduate
1551,Trade School Education,Graduate
1552,Trade School Education,Graduate
1553,Secondary Education,Graduate
1554,Trade School Education,Graduate
1555,Secondary Education,Graduate
1556,Trade School Education,Dropout
1558,Trade School Education,Dropout
1559,Secondary Education,Graduate
1562,Secondary Education,Graduate
1565,Secondary Education,Graduate
1566,Primary Education,Graduate
1567,Secondary Education,Graduate
1569,Trade School Education,Dropout
1571,Trade School Education,Dropout
1572,Trade School Education,Dropout
1573,Trade School Education,Dropout
1574,Trade School Education,Graduate
1575,Primary Education,Graduate
1576,Trade School Education,Dropout
1578,Trade School Education,Dropout
1580,Trade School Education,Graduate
1582,Primary Education,Dropout
1583,Trade School Education,Dropout
1584,Trade School Education,Graduate
1585,Primary Education,Graduate
1588,Trade School Education,Dropout
1589,Secondary Education,Graduate
1590,Secondary Education,Dropout
1591,Secondary Education,Dropout
1593,Trade School Education,Dropout
1597,Primary Education,Graduate
1598,Trade School Education,Dropout
1599,Trade School Education,Dropout
1600,Secondary Education,Graduate
1603,Primary Education,Graduate
1604,Secondary Education,Dropout
1606,Secondary Education,Graduate
1607,Secondary Education,Graduate
1609,Trade School Education,Graduate
1610,Secondary Education,Dropout
1612,Primary Education,Graduate
1613,Primary Education,Dropout
1614,Trade School Education,Graduate
1615,Primary Education,Dropout
1616,Trade School Education,Graduate
1617,Trade School Education,Dropout
1618,Primary Education,Dropout
1619,Secondary Education,Graduate
1620,Primary Education,Graduate
1621,Trade School Education,Graduate
1622,Trade School Education,Dropout
1623,Trade School Education,Dropout
1624,Secondary Education,Dropout
1625,Trade School Education,Dropout
1626,Trade School Education,Graduate
1627,Trade School Education,Dropout
1628,Primary Education,Dropout
1629,Trade School Education,Dropout
1630,Trade School Education,Graduate
1631,Primary Education,Dropout
1632,Trade School Education,Graduate
1634,Trade School Education,Graduate
1635,Trade School Education,Graduate
1636,Secondary Education,Graduate
1637,Secondary Education,Graduate
1638,Trade School Education,Dropout
1639,Secondary Education,Graduate
1640,Secondary Education,Graduate
1641,Trade School Education,Graduate
1642,Secondary Education,Graduate
1643,Trade School Education,Graduate
1644,Secondary Education,Dropout
1645,Secondary Education,Dropout
1646,Secondary Education,Graduate
1647,Secondary Education,Graduate
1648,Primary Education,Dropout
1649,Secondary Education,Graduate
1651,Secondary Education,Graduate
1653,Primary Education,Graduate
1654,Secondary Education,Dropout
1655,Trade School Education,Graduate
1656,Secondary Education,Graduate
1658,Trade School Education,Graduate
1660,Secondary Education,Graduate
1661,Secondary Education,Graduate
1662,Primary Education,Graduate
1663,Secondary Education,Graduate
1664,Trade School Education,Graduate
1666,Secondary Education,Graduate
1667,Secondary Education,Graduate
1668,Secondary Education,Dropout
1669,Trade School Education,Graduate
1671,Primary Education,Graduate
1672,Secondary Education,Dropout
1673,Secondary Education,Graduate
1674,Secondary Education,Graduate
1675,Secondary Education,Dropout
1676,Secondary Education,Dropout
1677,Secondary Education,Graduate
1678,Trade School Education,Graduate
1679,Secondary Education,Dropout
1682,Primary Education,Dropout
1683,Secondary Education,Dropout
1684,Trade School Education,Graduate
1685,Secondary Education,Graduate
1686,Trade School Education,Graduate
1687,Secondary Education,Dropout
1689,Trade School Education,Dropout
1690,Primary Education,Dropout
1691,Secondary Education,Dropout
1692,Trade School Education,Graduate
1694,Secondary Education,Dropout
1695,Trade School Education,Graduate
1696,Primary Education,Graduate
1697,Primary Education,Dropout
1698,Secondary Education,Dropout
1699,Trade School Education,Dropout
1700,Trade School Education,Graduate
1701,Secondary Education,Graduate
1702,Primary Education,Dropout
1703,Trade School Education,Graduate
1704,Secondary Education,Graduate
1706,Secondary Education,Dropout
1708,Primary Education,Dropout
1709,Trade School Education,Graduate
1711,Primary Education,Graduate
1712,Secondary Education,Dropout
1714,Primary Education,Graduate
1715,Secondary Education,Graduate
1716,Trade School Education,Graduate
1718,Trade School Education,Dropout
1719,Secondary Education,Dropout
1720,Trade School Education,Graduate
1721,Trade School Education,Graduate
1722,Secondary Education,Graduate
1723,Secondary Education,Graduate
1724,Primary Education,Graduate
1725,Trade School Education,Dropout
1726,Primary Education,Graduate
1728,Trade School Education,Dropout
1729,Trade School Education,Graduate
1730,Secondary Education,Graduate
1731,Primary Education,Dropout
1732,Trade School Education,Dropout
1734,Secondary Education,Dropout
1735,Secondary Education,Graduate
1736,Secondary Education,Graduate
1738,Secondary Education,Graduate
1739,Trade School Education,Dropout
1740,Secondary Education,Dropout
1742,Secondary Education,Dropout
1743,Secondary Education,Dropout
1744,Trade School Education,Dropout
1745,Secondary Education,Dropout
1746,Primary Education,Dropout
1747,Primary Education,Dropout
1748,Secondary Education,Dropout
1749,Trade School Education,Dropout
1751,Trade School Education,Graduate
1754,Secondary Education,Dropout
1757,Secondary Education,Dropout
1758,Secondary Education,Graduate
1759,Secondary Education,Graduate
1760,Primary Education,Graduate
1761,Secondary Education,Dropout
1762,Secondary Education,Graduate
1763,Trade School Education,Graduate
1764,Secondary Education,Graduate
1765,Primary Education,Dropout
1766,Secondary Education,Dropout
1768,Secondary Education,Dropout
1772,Secondary Education,Graduate
1775,Secondary Education,Dropout
1776,Primary Education,Graduate
1777,Trade School Education,Dropout
1778,Trade School Education,Graduate
1779,Trade School Education,Graduate
1781,Secondary Education,Graduate
1782,Trade School Education,Dropout
1784,Trade School Education,Dropout
1786,Trade School Education,Dropout
1787,Trade School Education,Graduate
1788,Secondary Education,Dropout
1789,Primary Education,Graduate
1790,Trade School Education,Graduate
1791,Secondary Education,Dropout
1792,Secondary Education,Dropout
1793,Secondary Education,Dropout
1795,Trade School Education,Graduate
1796,Trade School Education,Graduate
1797,Trade School Education,Dropout
1798,Trade School Education,Dropout
1799,Trade School Education,Dropout
1800,Secondary Education,Dropout
1801,Primary Education,Graduate
1802,Secondary Education,Graduate
1803,Primary Education,Dropout
1804,Primary Education,Dropout
1805,Secondary Education,Dropout
1807,Secondary Education,Dropout
1809,Secondary Education,Graduate
1810,Trade School Education,Graduate
1811,Secondary Education,Graduate
1812,Trade School Education,Dropout
1813,Trade School Education,Graduate
1814,Secondary Education,Dropout
1816,Trade School Education,Graduate
1817,Trade School Education,Graduate
1818,Secondary Education,Dropout
1819,Secondary Education,Dropout
1823,Secondary Education,Dropout
1824,Secondary Education,Graduate
1825,Primary Education,Graduate
1826,Trade School Education,Graduate
1828,Trade School Education,Dropout
1830,Trade School Education,Dropout
1831,Secondary Education,Graduate
1832,Trade School Education,Graduate
1833,Primary Education,Dropout
1834,Primary Education,Graduate
1835,Trade School Education,Graduate
1836,Trade School Education,Graduate
1838,Secondary Education,Graduate
1839,Secondary Education,Graduate
1840,Trade School Education,Dropout
1841,Primary Education,Dropout
1842,Secondary Education,Graduate
1844,Secondary Education,Graduate
1845,Secondary Education,Dropout
1846,Trade School Education,Dropout
1847,Trade School Education,Dropout
1848,Secondary Education,Graduate
1850,Secondary Education,Dropout
1851,Primary Education,Dropout
1852,Secondary Education,Graduate
1853,Secondary Education,Graduate
1854,Trade School Education,Dropout
1855,Primary Education,Dropout
1856,Secondary Education,Graduate
1857,Primary Education,Graduate
1858,Secondary Education,Graduate
1860,Primary Education,Dropout
1862,Secondary Education,Dropout
1863,Trade School Education,Graduate
1864,Primary Education,Dropout
1865,Secondary Education,Graduate
1866,Primary Education,Dropout
1867,Trade School Education,Dropout
1868,Trade School Education,Graduate
1869,Primary Education,Graduate
1870,Primary Education,Dropout
1871,Secondary Education,Dropout
1872,Secondary Education,Graduate
1873,Primary Education,Dropout
1874,Primary Education,Graduate
1875,Trade School Education,Graduate
1876,Trade School Education,Dropout
1877,Trade School Education,Dropout
1878,Secondary Education,Dropout
1879,Primary Education,Graduate
1881,Trade School Education,Dropout
1882,Primary Education,Dropout
1883,Secondary Education,Graduate
1885,Primary Education,Graduate
1886,Trade School Education,Dropout
1887,Trade School Education,Dropout
1888,Secondary Education,Graduate
1889,Secondary Education,Graduate
1890,Trade School Education,Graduate
1891,Trade School Education,Graduate
1892,Secondary Education,Dropout
1894,Secondary Education,Graduate
1897,Secondary Education,Dropout
1898,Primary Education,Graduate
1899,Secondary Education,Graduate
1900,Secondary Education,Graduate
1901,Secondary Education,Graduate
1902,Secondary Education,Graduate
1903,Primary Education,Graduate
1904,Primary Education,Graduate
1905,Secondary Education,Graduate
1906,Secondary Education,Graduate
1907,Primary Education,Graduate
1909,Secondary Education,Graduate
1910,Secondary Education,Graduate
1911,Trade School Education,Graduate
1912,Trade School Education,Graduate
1913,Primary Education,Dropout
1914,Primary Education,Graduate
1915,Secondary Education,Graduate
1916,Primary Education,Graduate
1917,Primary Education,Graduate
1918,Primary Education,Graduate
1921,Trade School Education,Graduate
1923,Trade School Education,Graduate
1924,Secondary Education,Dropout
1925,Secondary Education,Graduate
1926,Trade School Education,Graduate
1927,Primary Education,Graduate
1929,Secondary Education,Graduate
1930,Primary Education,Graduate
1931,Trade School Education,Graduate
1932,Primary Education,Graduate
1933,Primary Education,Graduate
1934,Primary Education,Graduate
1935,Secondary Education,Graduate
1936,Secondary Education,Graduate
1937,Primary Education,Graduate
1938,Primary Education,Dropout
1939,Secondary Education,Graduate
1940,Secondary Education,Graduate
1941,Trade School Education,Graduate
1942,Primary Education,Graduate
1943,Secondary Education,Graduate
1944,Secondary Education,Dropout
1945,Trade School Education,Graduate
1946,Primary Education,Graduate
1947,Secondary Education,Graduate
1948,Trade School Education,Graduate
1949,Trade School Education,Graduate
1950,Trade School Education,Dropout
1951,Primary Education,Dropout
1952,Primary Education,Dropout
1953,Secondary Education,Graduate
1955,Primary Education,Graduate
1957,Trade School Education,Graduate
1958,Primary Education,Dropout
1960,Secondary Education,Graduate
1962,Secondary Education,Graduate
1963,Secondary Education,Graduate
1964,Secondary Education,Graduate
1965,Secondary Education,Graduate
1966,Secondary Education,Graduate
1969,Secondary Education,Graduate
1971,Secondary Education,Graduate
1972,Primary Education,Dropout
1973,Primary Education,Graduate
1974,Secondary Education,Graduate
1975,Secondary Education,Dropout
1977,Secondary Education,Graduate
1979,Primary Education,Graduate
1980,Primary Education,Graduate
1981,Primary Education,Graduate
1982,Trade School Education,Graduate
1983,Trade School Education,Graduate
1984,Primary Education,Graduate
1985,Trade School Education,Graduate
1986,Trade School Education,Graduate
1988,Primary Education,Graduate
1990,Trade School Education,Graduate
1991,Trade School Education,Dropout
1993,Trade School Education,Graduate
1994,Primary Education,Dropout
1995,Primary Education,Graduate
1996,Secondary Education,Graduate
1997,Trade School Education,Graduate
1998,Trade School Education,Dropout
1999,Primary Education,Graduate
2000,Secondary Education,Dropout
2001,Trade School Education,Dropout
2002,Trade School Education,Graduate
2003,Primary Education,Dropout
2004,Primary Education,Dropout
2005,Secondary Education,Graduate
2006,Trade School Education,Graduate
2007,Trade School Education,Graduate
2008,Trade School Education,Graduate
2009,Secondary Education,Dropout
2010,Trade School Education,Graduate
2011,Trade School Education,Graduate
2012,Trade School Education,Dropout
2013,Trade School Education,Dropout
2014,Primary Education,Dropout
2015,Primary Education,Graduate
2016,Secondary Education,Graduate
2017,Trade School Education,Graduate
2019,Secondary Education,Graduate
2020,Primary Education,Dropout
2021,Primary Education,Dropout
2022,Trade School Education,Dropout
2023,Secondary Education,Graduate
2025,Secondary Education,Graduate
2026,Secondary Education,Graduate
2028,Primary Education,Graduate
2029,Trade School Education,Graduate
2030,Primary Education,Graduate
2031,Trade School Education,Dropout
2032,Primary Education,Graduate
2033,Trade School Education,Dropout
2034,Trade School Education,Graduate
2036,Secondary Education,Dropout
2037,Secondary Education,Dropout
2038,Trade School Education,Graduate
2039,Trade School Education,Graduate
2040,Trade School Education,Dropout
2041,Trade School Education,Graduate
2042,Trade School Education,Graduate
2043,Secondary Education,Graduate
2044,Secondary Education,Graduate
2045,Primary Education,Graduate
2046,Trade School Education,Dropout
2047,Trade School Education,Dropout
2048,Secondary Education,Graduate
2049,Secondary Education,Graduate
2050,Trade School Education,Graduate
2051,Trade School Education,Graduate
2052,Secondary Education,Dropout
2054,Secondary Education,Graduate
2055,Trade School Education,Graduate
2056,Secondary Education,Graduate
2058,Secondary Education,Graduate
2059,Trade School Education,Dropout
2060,Primary Education,Graduate
2061,Primary Education,Graduate
2062,Secondary Education,Graduate
2063,Trade School Education,Graduate
2064,Trade School Education,Graduate
2065,Secondary Education,Graduate
2066,Primary Education,Graduate
2067,Secondary Education,Graduate
2069,Trade School Education,Dropout
2070,Secondary Education,Graduate
2071,Primary Education,Graduate
2072,Trade School Education,Graduate
2073,Secondary Education,Graduate
2074,Primary Education,Graduate
2075,Trade School Education,Graduate
2076,Trade School Education,Graduate
2077,Primary Education,Graduate
2078,Secondary Education,Graduate
2079,Trade School Education,Graduate
2080,Trade School Education,Graduate
2081,Secondary Education,Graduate
2082,Trade School Education,Graduate
2083,Secondary Education,Graduate
2084,Primary Education,Graduate
2085,Primary Education,Dropout
2086,Secondary Education,Dropout
2087,Secondary Education,Dropout
2088,Primary Education,Graduate
2089,Secondary Education,Dropout
2090,Trade School Education,Graduate
2092,Secondary Education,Graduate
2093,Trade School Education,Graduate
2094,Secondary Education,Dropout
2095,Secondary Education,Graduate
2096,Secondary Education,Dropout
2097,Trade School Education,Graduate
2098,Trade School Education,Graduate
2099,Primary Education,Dropout
2101,Secondary Education,Graduate
2102,Trade School Education,Graduate
2103,Primary Education,Dropout
2104,Primary Education,Graduate
2107,Trade School Education,Graduate
2109,Secondary Education,Graduate
2111,Primary Education,Graduate
2112,Primary Education,Graduate
2113,Trade School Education,Graduate
2114,Trade School Education,Dropout
2115,Secondary Education,Dropout
2116,Secondary Education,Graduate
2117,Trade School Education,Dropout
2118,Primary Education,Graduate
2120,Primary Education,Dropout
2121,Secondary Education,Graduate
2122,Trade School Education,Graduate
2123,Secondary Education,Dropout
2124,Secondary Education,Graduate
2125,Trade School Education,Dropout
2126,Trade School Education,Dropout
2127,Primary Education,Dropout
2128,Primary Education,Dropout
2129,Primary Education,Graduate
2131,Secondary Education,Graduate
2132,Primary Education,Graduate
2133,Secondary Education,Graduate
2134,Primary Education,Graduate
2135,Primary Education,Dropout
2136,Trade School Education,Graduate
2137,Trade School Education,Graduate
2138,Primary Education,Graduate
2139,Primary Education,Dropout
2141,Trade School Education,Graduate
2142,Secondary Education,Graduate
2143,Secondary Education,Graduate
2144,Trade School Education,Graduate
2146,Trade School Education,Graduate
2147,Trade School Education,Graduate
2148,Primary Education,Graduate
2149,Trade School Education,Graduate
2150,Secondary Education,Graduate
2152,Trade School Education,Graduate
2153,Secondary Education,Graduate
2154,Trade School Education,Graduate
2155,Primary Education,Graduate
2157,Trade School Education,Graduate
2158,Secondary Education,Graduate
2159,Trade School Education,Dropout
2160,Secondary Education,Graduate
2161,Primary Education,Dropout
2162,Primary Education,Dropout
2163,Secondary Education,Graduate
2164,Secondary Education,Graduate
2165,Secondary Education,Graduate
2166,Trade School Education,Graduate
2167,Trade School Education,Graduate
2168,Secondary Education,Graduate
2169,Secondary Education,Graduate
2170,Secondary Education,Graduate
2171,Secondary Education,Graduate
2172,Trade School Education,Graduate
2173,Primary Education,Dropout
2174,Secondary Education,Graduate
2175,Primary Education,Graduate
2176,Secondary Education,Graduate
2177,Primary Education,Dropout
2178,Secondary Education,Graduate
2179,Trade School Education,Graduate
2180,Trade School Education,Dropout
2181,Primary Education,Graduate
2182,Primary Education,Graduate
2183,Trade School Education,Dropout
2185,Primary Education,Graduate
2187,Primary Education,Graduate
2188,Secondary Education,Graduate
2189,Secondary Education,Dropout
2191,Secondary Education,Dropout
2192,Secondary Education,Dropout
2194,Trade School Education,Graduate
2198,Trade School Education,Dropout
2199,Secondary Education,Dropout
2200,Trade School Education,Dropout
2201,Trade School Education,Graduate
2202,Primary Education,Graduate
2203,Primary Education,Dropout
2204,Secondary Education,Graduate
2206,Trade School Education,Dropout
2209,Secondary Education,Dropout
2210,Secondary Education,Graduate
2211,Trade School Education,Graduate
2213,Primary Education,Dropout
2214,Primary Education,Graduate
2216,Secondary Education,Graduate
2217,Primary Education,Dropout
2218,Primary Education,Graduate
2219,Trade School Education,Graduate
2220,Secondary Education,Graduate
2221,Secondary Education,Graduate
2223,Trade School Education,Dropout
2224,Primary Education,Graduate
2225,Trade School Education,Dropout
2226,Secondary Education,Graduate
2227,Trade School Education,Dropout
2228,Trade School Education,Dropout
2229,Secondary Education,Graduate
2230,Secondary Education,Graduate
2231,Secondary Education,Dropout
2232,Secondary Education,Dropout
2233,Primary Education,Dropout
2235,Primary Education,Graduate
2237,Trade School Education,Dropout
2240,Secondary Education,Graduate
2243,Trade School Education,Graduate
2244,Trade School Education,Dropout
2245,Trade School Education,Graduate
2248,Trade School Education,Dropout
2249,Secondary Education,Graduate
2250,Secondary Education,Dropout
2251,Primary Education,Dropout
2252,Secondary Education,Dropout
2253,Primary Education,Dropout
2254,Primary Education,Dropout
2255,Trade School Education,Dropout
2256,Trade School Education,Dropout
2258,Secondary Education,Dropout
2259,Trade School Education,Graduate
2261,Secondary Education,Dropout
2262,Secondary Education,Dropout
2263,Trade School Education,Dropout
2266,Trade School Education,Dropout
2267,Secondary Education,Dropout
2268,Secondary Education,Dropout
2269,Trade School Education,Dropout
2270,Primary Education,Dropout
2271,Trade School Education,Graduate
2272,Trade School Education,Dropout
2273,Primary Education,Dropout
2274,Trade School Education,Dropout
2275,Secondary Education,Dropout
2276,Trade School Education,Graduate
2277,Secondary Education,Graduate
2279,Trade School Education,Dropout
2280,Secondary Education,Graduate
2282,Trade School Education,Dropout
2283,Secondary Education,Graduate
2285,Trade School Education,Dropout
2286,Primary Education,Graduate
2287,Secondary Education,Graduate
2289,Secondary Education,Dropout
2290,Secondary Education,Dropout
2291,Trade School Education,Graduate
2292,Primary Education,Dropout
2293,Primary Education,Graduate
2294,Secondary Education,Dropout
2295,Secondary Education,Graduate
2296,Secondary Education,Dropout
2297,Secondary Education,Graduate
2298,Secondary Education,Graduate
2299,Secondary Education,Dropout
2304,Secondary Education,Dropout
2306,Secondary Education,Dropout
2307,Secondary Education,Dropout
2308,Primary Education,Dropout
2309,Secondary Education,Graduate
2310,Primary Education,Graduate
2311,Secondary Education,Graduate
2312,Primary Education,Dropout
2313,Trade School Education,Graduate
2314,Secondary Education,Graduate
2315,Primary Education,Dropout
2316,Secondary Education,Dropout
2317,Secondary Education,Dropout
2318,Secondary Education,Dropout
2319,Secondary Education,Graduate
2320,Primary Education,Dropout
2322,Trade School Education,Dropout
2324,Secondary Education,Graduate
2325,Trade School Education,Dropout
2327,Trade School Education,Dropout
2328,Trade School Education,Graduate
2329,Trade School Education,Dropout
2330,Primary Education,Dropout
2331,Primary Education,Dropout
2332,Secondary Education,Graduate
2333,Primary Education,Dropout
2334,Trade School Education,Graduate
2335,Secondary Education,Graduate
2336,Trade School Education,Dropout
2337,Secondary Education,Dropout
2338,Trade School Education,Dropout
2340,Trade School Education,Dropout
2342,Secondary Education,Graduate
2343,Trade School Education,Graduate
2344,Secondary Education,Graduate
2345,Secondary Education,Graduate
2347,Secondary Education,Graduate
2348,Primary Education,Dropout
2349,Trade School Education,Graduate
2350,Primary Education,Graduate
2351,Secondary Education,Graduate
2352,Secondary Education,Graduate
2353,Trade School Education,Graduate
2354,Trade School Education,Dropout
2355,Secondary Education,Graduate
2356,Secondary Education,Graduate
2357,Secondary Education,Dropout
2358,Secondary Education,Graduate
2359,Secondary Education,Dropout
2361,Primary Education,Dropout
2362,Primary Education,Graduate
2365,Secondary Education,Graduate
2367,Primary Education,Graduate
2369,Secondary Education,Dropout
2371,Primary Education,Graduate
2375,Trade School Education,Dropout
2376,Trade School Education,Graduate
2377,Trade School Education,Dropout
2378,Secondary Education,Dropout
